"authority","source","ownerTo","destination","label","label (right)","symbol","Sum(uiAmount)","Sum(amount)"
"2CQEuqcmTSCY9zuy5r6vmbimBo1csVKJVDeGnRNTBTkV","GczRAVTWbuavHCynHxNtBHEq8DwcaQPBTCeFDSDJwBmj","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",1000,1000000000
"2FsjbXkp5S7PkH1ZEt7RGSgZWGVfK1QryD8Est7kqb8A","4Y6mvkxV4kLXTarsyeinSjeNyir1jdCZyeEnGLVztN5F","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",18.27,18270000
"2FwDmzP6ZWK1BcnbP4ftdeiNgvr9A9eUvCpjajgTQj5V","BjB5XYcP11Pzi4dZNyLqo21MVS4xckjEJQnwD9GZ21ym","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",57,57000000
"2G723P94ceGorwTJzF3GoJxFVMVfbCZeZXZrW1hZjUxf","G7ovbvCKAFx514DApUygpt87AQALhWjcbiZcYTnxxTtx","5ndLnEYqSFiA5yUFHo6LVZ1eWc6Rhh11K5CfJNkoHEPs","8pdjd4AgLrCiJXDXoaB8SBXvfM2g6VJLrtxH9g2Q126d",,"ray hack funder (addr4)","USDT",32.825759,32825759
"2GYG7AxQ2cJCUAQoaKF15Eysh7xDkoVcbUrrRhx78A7H","7VzwHFFtb34rAKkewggET3DCpD8oH8CpRgny6b7bma7C","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",57,57000000
"2GxvvDV9yUK2JEZHZmiAjTxxvPSBWagK7a62pnPYKWxu","HGTRbPUmm33oQVKs4dGe8rtfa5esZXbJ9rfqMK9WoYnk","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",215,215000000
"2H1q5FD92zpgRbkt4yGUfjsuFogEaiYcm4EupZ1vq87A","TcQp5bE42FKaYjaW9n5aDzAhheJQjSWCfQd78PQUTud","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",25,25000000
"2H7PLv57V1SDL1BNxQmVprqtkWwcasLXpD6neeGSnWri","7uay5m51iDYizfTqacrCKMdqzTnC5yqCZt9cNvtTvkKx","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",2222,2222000000
"2JYmtT5ZL8BMFsfG5XmNpbsaUPJyQsD7ZGzSugxK7M8m","CkDnkVoiTqb4pyPAvW7C3teHAY1DUEAmnxsd1ptDWZhh","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",31.997799,31997799
"2JhRx2dFkFWJQQVNtnEn77fsJmrMoQdgML118SFNFE9r","GCWEDY1g9TWa1a9fpGM5aJagcdPYPdV6uyk9tNW9CuPJ","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",19.928499,19928499
"2Jsa8buYybqrSWyHpK3KFyUxmDMBLywHHGFRVkuMYW59","2PvCpLiWNxzj81p4Hu8y8BkcgW3W4Kra2B565VGzcKt2","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",34,34000000
"2Jz3ozoxsMevaBC46H7eGSNRbThFY5b5NGrugNX75BiG","fy6qKSPsGMp1E47c1ViiyocXhY3TtcchuZcR26ug5ec","5ndLnEYqSFiA5yUFHo6LVZ1eWc6Rhh11K5CfJNkoHEPs","8pdjd4AgLrCiJXDXoaB8SBXvfM2g6VJLrtxH9g2Q126d",,"ray hack funder (addr4)","USDT",131.999,131999000
"2KYVSc1XWmWek9aLKRCjb71nSwzQvL4AeRA6AUjNhhGa","9q1hmfBDPFRsAWcsWT3bsSHHo9Ho5fqJK54Ezxfkc3as","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",25,25000000
"2L3W4D226r4uj64dtZCKRT5fwTUd1Rwwx17ydaLFmCms","HjRKZ27uVFg6FA4qHcSb8CaRaCMtWXXaJV35A8cbaYxA","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","8uFSz2xUxJEe2M1wQ1i6UgWTkGCJ4s65sG7hRCzfjEWL",,,"ATLAS",50985.2371,5098523710000
